,Tickers,Market Cap,Volume,Sector,Industry,Market_Cap_Thres,Industry_Cap_Thres,Sector_Cap_Thres,Market_Cap_Pass,Industry_Cap_Pass,Sector_Cap_Pass
45,FIX,3600164258.0,87569,Capital Goods,Engineering & Construction,4375301206.200001,1132312197.0,1381236600.0,False,True,True
46,GVA,1938012623.0,293560,Capital Goods,Engineering & Construction,4375301206.200001,1132312197.0,1381236600.0,False,True,True
47,IESC,1132312197.0,10531,Capital Goods,Engineering & Construction,4375301206.200001,1132312197.0,1381236600.0,False,True,False
48,PWR,16669565774.0,1233916,Capital Goods,Engineering & Construction,4375301206.200001,1132312197.0,1381236600.0,True,True,True
49,AJRD,3513047231.0,240796,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,False,True,True
50,DCO,606890320.0,17439,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,False,True,False
51,ESLT,6684049945.0,7033,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,True,True,True
52,HEI,19718684115.0,289198,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,True,True,True
53,KAMN,1125427916.0,95918,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,False,True,False
54,RTX,133004000000.0,3273106,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,True,True,True
55,SPR,4701917058.0,1467338,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,True,True,True
56,WWD,7458127414.0,123396,Capital Goods,Military/Government/Technical,4375301206.200001,524463349.0,1381236600.0,True,True,True
57,WPRT,505548926.0,2849759,Capital Goods,Multi-Sector Companies,4375301206.200001,294191695.0,1381236600.0,False,True,False
58,SSD,5202767479.0,130335,Capital Goods,Industrial Specialties,4375301206.200001,770574163.0,1381236600.0,True,True,True
59,BWA,11568964019.0,1712713,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
60,GNTX,8874233439.0,1156789,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
61,JCI,55695935881.0,2629531,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
62,LEA,10940831275.0,589052,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
63,MGA,25994079716.0,1455403,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
64,MTOR,1910002141.0,744571,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,False,True,True
65,SMP,1159347458.0,51684,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,False,True,False
66,TEN,1075682095.0,743112,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,False,True,False
67,TT,45823875738.0,1069511,Capital Goods,Auto Parts:O.E.M.,4375301206.200001,984841502.0,1381236600.0,True,True,True
68,ESE,2381233042.0,64861,Capital Goods,Telecommunications Equipment,4375301206.200001,1197814210.5,1381236600.0,False,True,True
69,EXTR,1528678631.0,1174398,Capital Goods,Telecommunications Equipment,4375301206.200001,1197814210.5,1381236600.0,False,True,True
70,FLR,3157728084.0,1257009,Capital Goods,Oilfield Services/Equipment,4375301206.200001,685407637.0,1381236600.0,False,True,True
71,GLDD,1032063427.0,157827,Capital Goods,Oilfield Services/Equipment,4375301206.200001,685407637.0,1381236600.0,False,True,False
72,J,18950321793.0,460956,Capital Goods,Oilfield Services/Equipment,4375301206.200001,685407637.0,1381236600.0,True,True,True
73,KBR,6305825044.0,466724,Capital Goods,Oilfield Services/Equipment,4375301206.200001,685407637.0,1381236600.0,True,True,True
74,MAS,16283076658.0,1917556,Capital Goods,Building Products,4375301206.200001,1277094904.0,1381236600.0,True,True,True
75,PGTI,1319854885.0,419703,Capital Goods,Building Products,4375301206.200001,1277094904.0,1381236600.0,False,True,False
76,BA,129858000000.0,6413384,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,True,True,True
77,ERJ,2983219929.0,6304395,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,False,True,True
78,GD,56115412145.0,944087,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,True,True,True
79,LMT,93508150346.0,1097387,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,True,True,True
80,TGI,1404004375.0,700101,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,False,False,True
81,TXT,16979354466.0,626892,Capital Goods,Aerospace,4375301206.200001,1424029764.0,1381236600.0,True,True,True
82,HAIN,4027563090.0,1738633,Capital Goods,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,1381236600.0,False,True,True
83,MWA,2315626648.0,1197369,Capital Goods,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,1381236600.0,False,True,True
84,PH,42923994302.0,920335,Capital Goods,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,1381236600.0,True,True,True
85,ROP,51448150277.0,245178,Capital Goods,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,1381236600.0,True,True,True
86,WTS,6858626440.0,142439,Capital Goods,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,1381236600.0,True,True,True
87,GFF,1627762722.0,173464,Capital Goods,Diversified Manufacture,4375301206.200001,850620933.0,1381236600.0,False,True,True
88,JBT,5243011680.0,106020,Capital Goods,Diversified Manufacture,4375301206.200001,850620933.0,1381236600.0,True,True,True
89,SNA,11886754485.0,453569,Capital Goods,Diversified Manufacture,4375301206.200001,850620933.0,1381236600.0,True,True,True
90,SWK,32039972583.0,2007239,Capital Goods,Diversified Manufacture,4375301206.200001,850620933.0,1381236600.0,True,True,True
91,F,77926709309.0,77686306,Capital Goods,Auto Manufacturing,4375301206.200001,31294642465.0,1381236600.0,True,True,True
92,OSK,7963131665.0,460583,Capital Goods,Auto Manufacturing,4375301206.200001,31294642465.0,1381236600.0,True,False,True
93,PCAR,31190410698.0,911064,Capital Goods,Auto Manufacturing,4375301206.200001,31294642465.0,1381236600.0,True,False,True
94,SHYF,1843948911.0,193590,Capital Goods,Auto Manufacturing,4375301206.200001,31294642465.0,1381236600.0,False,False,True
95,TM,255518000000.0,291149,Capital Goods,Auto Manufacturing,4375301206.200001,31294642465.0,1381236600.0,True,True,True
96,CAMT,2110977662.0,483120,Capital Goods,Electronic Components,4375301206.200001,571225424.0,1381236600.0,False,True,True
97,KLAC,62662408351.0,627136,Capital Goods,Electronic Components,4375301206.200001,571225424.0,1381236600.0,True,True,True
98,TMO,250319000000.0,888087,Capital Goods,Biotechnology: Laboratory Analytical Instruments,4375301206.200001,1480622638.0,1381236600.0,True,True,True
99,DD,41821342126.0,2611199,Capital Goods,Wholesale Distributors,4375301206.200001,2690786140.0,1381236600.0,True,True,True
100,WSO,11714473196.0,89745,Capital Goods,Wholesale Distributors,4375301206.200001,2690786140.0,1381236600.0,True,True,True
101,CAT,113203000000.0,2017533,Capital Goods,Construction/Ag Equipment/Trucks,4375301206.200001,1032254946.0,1381236600.0,True,True,True
102,CMI,33804146956.0,754315,Capital Goods,Construction/Ag Equipment/Trucks,4375301206.200001,1032254946.0,1381236600.0,True,True,True
103,TEX,3432764000.0,321802,Capital Goods,Construction/Ag Equipment/Trucks,4375301206.200001,1032254946.0,1381236600.0,False,True,True
104,VMI,5397310246.0,43652,Capital Goods,Construction/Ag Equipment/Trucks,4375301206.200001,1032254946.0,1381236600.0,True,True,True
105,CX,9676933763.0,3507334,Capital Goods,Building Materials,4375301206.200001,4775876746.0,1381236600.0,True,True,True
106,EXP,6659949462.0,344571,Capital Goods,Building Materials,4375301206.200001,4775876746.0,1381236600.0,True,True,True
107,MLM,26172322369.0,209509,Capital Goods,Building Materials,4375301206.200001,4775876746.0,1381236600.0,True,True,True
108,TRN,2808212633.0,558495,Capital Goods,Railroads,4375301206.200001,18142188572.0,1381236600.0,False,False,True
109,WAB,18142188572.0,497564,Capital Goods,Railroads,4375301206.200001,18142188572.0,1381236600.0,True,True,True
110,NVR,18297691016.0,10946,Capital Goods,Homebuilding,4375301206.200001,2501475955.0,1381236600.0,True,True,True
111,DCI,7709863211.0,301778,Capital Goods,Pollution Control Equipment,4375301206.200001,239920903.0,1381236600.0,True,True,True
112,FLS,4433008980.0,708520,Capital Goods,Fluid Controls,4375301206.200001,6238510654.5,1381236600.0,True,False,True
113,GGG,13354195306.0,292760,Capital Goods,Fluid Controls,4375301206.200001,6238510654.5,1381236600.0,True,True,True
114,ITT,8877576000.0,261546,Capital Goods,Fluid Controls,4375301206.200001,6238510654.5,1381236600.0,True,True,True
115,PNR,12546558565.0,659002,Capital Goods,Fluid Controls,4375301206.200001,6238510654.5,1381236600.0,True,True,True
116,GPC,19357963988.0,300007,Capital Goods,Automotive Aftermarket,4375301206.200001,5597106415.0,1381236600.0,True,True,True
117,TTC,10919094556.0,276086,Capital Goods,Tools/Hardware,4375301206.200001,10919094556.0,1381236600.0,True,True,True
118,AEIS,3441497854.0,189494,Consumer Durables,Electrical Products,4375301206.200001,1793289971.5,562046638.0,False,True,True
119,PLUG,24863989514.0,18790823,Consumer Durables,Electrical Products,4375301206.200001,1793289971.5,562046638.0,True,True,True
120,AME,32445667783.0,575715,Consumer Durables,Metal Fabrications,4375301206.200001,669517643.0,562046638.0,True,True,True
121,GE,118149000000.0,7621860,Consumer Durables,Metal Fabrications,4375301206.200001,669517643.0,562046638.0,True,True,True
122,CLX,20400133667.0,795627,Consumer Durables,Specialty Chemicals,4375301206.200001,418626625.0,562046638.0,True,True,True
123,HRTX,1175315174.0,1145351,Consumer Durables,Specialty Chemicals,4375301206.200001,418626625.0,562046638.0,False,True,True
124,USNA,2019638692.0,54416,Consumer Durables,Specialty Chemicals,4375301206.200001,418626625.0,562046638.0,False,True,True
125,ETD,629480097.0,322818,Consumer Durables,Home Furnishings,4375301206.200001,324817354.0,562046638.0,False,True,True
126,LEG,5941954171.0,716443,Consumer Durables,Home Furnishings,4375301206.200001,324817354.0,562046638.0,True,True,True
127,LZB,1665665142.0,322251,Consumer Durables,Home Furnishings,4375301206.200001,324817354.0,562046638.0,False,True,True
128,MHK,12010304380.0,395767,Consumer Durables,Home Furnishings,4375301206.200001,324817354.0,562046638.0,True,True,True
129,TPX,8630226617.0,1480731,Consumer Durables,Home Furnishings,4375301206.200001,324817354.0,562046638.0,True,True,True
130,AMWD,1234334923.0,86637,Consumer Durables,Building Products,4375301206.200001,1277094904.0,562046638.0,False,False,True
131,GIL,8212543043.0,375364,Consumer Durables,Building Products,4375301206.200001,1277094904.0,562046638.0,True,True,True
132,WOR,2871976503.0,110776,Consumer Durables,Aerospace,4375301206.200001,1424029764.0,562046638.0,False,True,True
133,BLL,30306778610.0,2680470,Consumer Durables,Containers/Packaging,4375301206.200001,6096231096.0,562046638.0,True,True,True
134,OI,1961908560.0,892615,Consumer Durables,Containers/Packaging,4375301206.200001,6096231096.0,562046638.0,False,False,True
135,HNI,1785933719.0,81765,Consumer Durables,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,562046638.0,False,True,True
136,SCS,1393932820.0,444463,Consumer Durables,Office Equipment/Supplies/Services,4375301206.200001,1728718391.0,562046638.0,False,False,True
137,GT,6624439576.0,2832166,Consumer Durables,Automotive Aftermarket,4375301206.200001,5597106415.0,562046638.0,True,True,True
138,WHR,14102721812.0,780718,Consumer Durables,Consumer Electronics/Appliances,4375301206.200001,465654456.0,562046638.0,True,True,True
139,FLEX,8932431923.0,3700313,Technology,Electrical Products,4375301206.200001,1793289971.5,1975194000.0,True,True,True
140,GTLS,6977707986.0,132483,Technology,Electrical Products,4375301206.200001,1793289971.5,1975194000.0,True,True,True
141,JBL,9213572322.0,905196,Technology,Electrical Products,4375301206.200001,1793289971.5,1975194000.0,True,True,True
142,PLXS,2604724890.0,70260,Technology,Electrical Products,4375301206.200001,1793289971.5,1975194000.0,False,True,True
143,SANM,2612259300.0,369705,Technology,Electrical Products,4375301206.200001,1793289971.5,1975194000.0,False,True,True
144,ABM,3264557153.0,181184,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,True
145,AER,8641618154.0,1041261,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
146,ASGN,6617742000.0,205315,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
147,HRI,5812750404.0,112150,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
148,JOBS,3660491705.0,387629,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,True
149,KFRC,1673867980.0,104717,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,False
150,KFY,4429703433.0,137997,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
151,MGRC,1941180234.0,46202,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,False
152,RCII,3090733322.0,792912,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,True
153,RHI,13011160941.0,396628,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
154,TGH,1866671114.0,543595,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,False
155,TRTN,4131150354.0,342991,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,False,True,True
156,URI,27724172828.0,353197,Technology,Diversified Commercial Services,4375301206.200001,971328442.0,1975194000.0,True,True,True
157,ADI,397233000000.0,1847637,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
158,AMD,178594000000.0,52123946,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
159,AMKR,5697435552.0,476759,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
160,ENTG,20294664399.0,992274,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
161,FORM,3339456706.0,208492,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
162,FSLR,11793757564.0,999530,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
163,INTC,204611000000.0,23872534,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
164,IPGP,9066770228.0,151668,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
165,KLIC,3665437307.0,897585,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
166,LSCC,11292047497.0,395773,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
167,MCHP,46248473845.0,2565263,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
168,MPWR,25893664610.0,248302,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
169,MRVL,60520437182.0,5453340,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
170,MU,86469614947.0,26530145,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
171,OLED,8131534704.0,269541,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
172,ONTO,4415348582.0,360787,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
173,POWI,6249759249.0,250421,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
174,RMBS,2623660808.0,569460,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
175,SIMO,2409836247.0,133659,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
176,SLAB,8157207193.0,200517,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
177,SMTC,5791842886.0,170801,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
178,SPWR,5551191916.0,2039359,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
179,STM,46474123555.0,1873596,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
180,SWKS,27176249845.0,1569706,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
181,TSEM,3969614632.0,262940,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
182,TSM,615526000000.0,6941510,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
183,TXN,175544000000.0,3121681,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
184,UCTT,2644161000.0,280490,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,True,True
185,UMC,27838680000.0,4908808,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
186,XLNX,52996832727.0,3812507,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,True,True,True
187,XPER,2018480904.0,460241,Technology,Semiconductors,4375301206.200001,2101807397.0,1975194000.0,False,False,True
188,ACLS,2045676594.0,324250,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,False,True,True
189,ASML,352004000000.0,531173,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,True,True,True
190,FSS,2938604184.0,144063,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,False,True,True
191,GIC,1690265551.0,33446,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,False,True,False
192,LRCX,87917522381.0,1059102,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,True,True,True
193,TRS,1648278182.0,130225,Technology,Industrial Machinery/Components,4375301206.200001,1386047839.0,1975194000.0,False,True,False
194,AAPL,2600430000000.0,63719437,Technology,Computer Manufacturing,4375301206.200001,2231502488.0,1975194000.0,True,True,True
195,HPQ,36673146243.0,6016705,Technology,Computer Manufacturing,4375301206.200001,2231502488.0,1975194000.0,True,True,True
196,SMCI,2231502488.0,93821,Technology,Computer Manufacturing,4375301206.200001,2231502488.0,1975194000.0,False,True,True
197,HEES,1713180049.0,88356,Technology,Engineering & Construction,4375301206.200001,1132312197.0,1975194000.0,False,True,False
198,DLX,1608369781.0,147808,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,False,True,False
199,EFX,34171405457.0,462983,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
200,FDS,17190021004.0,122973,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
201,IPG,14309066148.0,1964520,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
202,MCO,72132918000.0,579203,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
203,MFC,38694079431.0,1955215,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
204,MORN,13640585444.0,63240,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
205,MSCI,53802252155.0,321317,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
206,OMC,14651658921.0,1202769,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
207,PRAA,1975194000.0,114729,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,False,True,True
208,SLF,32919116987.0,335293,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
209,SPGI,109260000000.0,1842621,Technology,Advertising,4375301206.200001,1608369781.0,1975194000.0,True,True,True
210,ACIW,4132460718.0,683901,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
211,CACI,6592462405.0,80660,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
212,CSGS,1717171605.0,85538,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,False
213,DLB,9117775717.0,332022,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
214,DOX,9354843450.0,722145,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
215,EGHT,2550196748.0,557965,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
216,EPAY,2050876264.0,287766,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
217,FFIV,13916601400.0,492631,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
218,FISV,66564582981.0,3681409,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
219,IBM,87030348128.0,5414840,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
220,INFY,99311679841.0,5304737,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
221,LDOS,13131553541.0,620347,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
222,LPSN,3417859517.0,892926,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
223,MANT,3145873456.0,280619,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
224,MDRX,2008962652.0,2876135,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
225,NSIT,3679057839.0,141989,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
226,NTCT,2381720715.0,372572,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,False,True,True
227,OTEX,14025328096.0,376996,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
228,PEGA,9700577163.0,100025,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
229,SAP,167984000000.0,561889,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
230,SNPS,52919980666.0,803130,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
231,SNX,10791320106.0,176229,Technology,EDP Services,4375301206.200001,1714578431.5,1975194000.0,True,True,True
